factor,n,IC,AUC,AUC_abs,mean_晋级,mean_未晋级,差异%
bias2_hfq,2482,0.0677,0.5558,0.5558,11.3793,10.0503,13.2
bias3_hfq,2480,0.0646,0.5533,0.5533,15.2766,13.096,16.7
bias1_hfq,2485,0.064,0.5528,0.5528,8.7576,8.0974,8.2
rsi_hfq_12,2485,0.0551,0.5454,0.5454,66.8659,65.0968,2.7
dmi_adx_hfq,2480,0.0491,0.5405,0.5405,41.5125,38.4822,7.9
rsi_hfq_6,2485,0.0484,0.5399,0.5399,74.3394,72.5252,2.5
kdj_hfq,2483,0.0477,0.5393,0.5393,82.9098,79.3628,4.5
kdj_k_hfq,2483,0.0465,0.5383,0.5383,66.5469,63.6598,4.5
cci_hfq,2482,0.0434,0.5358,0.5358,137.9082,123.1308,12.0
roc_hfq,2482,0.0407,0.5336,0.5336,16.8784,14.6345,15.3
macd_dif_hfq,2485,0.0349,0.5288,0.5288,2.7525,7.5642,-63.6
topdays,2485,0.0322,0.5265,0.5265,427.4789,360.5211,18.6
mfi_hfq,2482,0.0294,0.5242,0.5242,62.2514,60.9302,2.2
psy_hfq,2482,0.0278,0.5225,0.5225,55.4225,54.2822,2.1
wr_hfq,2483,-0.0277,0.4804,0.5196,9.5134,11.1975,-15.0
updays,2485,0.0252,0.5189,0.5189,2.0648,1.9291,7.0
mtm_hfq,2482,0.0111,0.5092,0.5092,14.2866,30.9654,-53.9
lowdays,2485,-0.0116,0.4995,0.5005,0.0,0.0136,-100.0
downdays,2485,,0.5,0.5,0.0,0.0,0.0
