Date,BTC-USD_bh,portfolio_comm_0.0,portfolio_comm_0.0001,portfolio_comm_0.0005
2018-01-01,100000.0,100000.0,100000.0,100000.0
2018-01-02,109701.10560814096,100000.0,100000.0,100000.0
2018-01-03,111303.92600686465,100000.0,100000.0,100000.0
2018-01-04,114219.60557235255,100000.0,100000.0,100000.0
2018-01-05,127621.3261191137,100000.0,100000.0,100000.0
2018-01-06,128335.2352557277,100000.0,100000.0,100000.0
2018-01-07,120651.37344205097,100000.0,100000.0,100000.0
2018-01-08,111077.66886643255,100000.0,100000.0,100000.0
2018-01-09,106869.63786058078,100000.0,100000.0,100000.0
2018-01-10,109636.67216232738,100000.0,100000.0,100000.0
2018-01-11,98159.20988907166,100000.0,100000.0,100000.0
2018-01-12,102367.97739974187,100000.0,100000.0,100000.0
2018-01-13,105147.46792861167,100000.0,100000.0,100000.0
2018-01-14,100840.58081485034,100000.0,100000.0,100000.0
2018-01-15,101190.57791530952,100000.0,100000.0,100000.0
2018-01-16,84135.10701808291,100000.0,100000.0,100000.0
2018-01-17,81924.54858511347,100000.0,100000.0,100000.0
2018-01-18,84020.88441643756,100000.0,100000.0,100000.0
2018-01-19,84991.0686277335,100000.0,100000.0,100000.0
2018-01-20,94449.81409688813,100000.0,100000.0,100000.0
2018-01-21,84937.61124887406,100000.0,100000.0,100000.0
2018-01-22,80041.29861387648,100000.0,100000.0,100000.0
2018-01-23,79580.00347944898,100000.0,100000.0,100000.0
2018-01-24,83175.17666998714,100000.0,100000.0,100000.0
2018-01-25,82442.96217089586,100000.0,100000.0,100000.0
2018-01-26,81798.61341169554,100000.0,100000.0,100000.0
2018-01-27,83770.4656276419,100000.0,100000.0,100000.0
2018-01-28,86300.99607628846,100000.0,100000.0,100000.0
2018-01-29,82713.88153555963,100000.0,100000.0,100000.0
2018-01-30,73999.79249155504,100000.0,100000.0,100000.0
2018-01-31,74840.37330640538,100000.0,100000.0,100000.0
2018-02-01,67148.02381098627,100000.0,100000.0,100000.0
2018-02-02,64660.031878502734,100000.0,100000.0,100000.0
2018-02-03,67180.02244266041,100000.0,100000.0,100000.0
2018-02-04,60605.46559510698,100000.0,100000.0,100000.0
2018-02-05,50927.49553395634,100000.0,100000.0,100000.0
2018-02-06,56775.91225953743,100000.0,100000.0,100000.0
2018-02-07,55804.26218913687,100000.0,100000.0,100000.0
2018-02-08,60521.847271353334,100000.0,100000.0,100000.0
2018-02-09,63973.43777496031,100000.0,100000.0,100000.0
2018-02-10,63130.80475736349,100000.0,100000.0,100000.0
2018-02-11,59528.820684887985,100000.0,100000.0,100000.0
2018-02-12,65361.6420997023,100000.0,100000.0,100000.0
2018-02-13,62958.0693505808,100000.0,100000.0,100000.0
2018-02-14,69521.05663700601,100000.0,100000.0,100000.0
2018-02-15,74439.85769582822,100000.0,100000.0,100000.0
2018-02-16,74934.10248271484,100000.0,100000.0,100000.0
2018-02-17,81368.80207062252,100000.0,100000.0,100000.0
2018-02-18,77261.80808500666,100000.0,100000.0,100000.0
2018-02-19,82193.2727363864,100000.0,100000.0,100000.0
2018-02-20,83499.54626297813,100000.0,100000.0,100000.0
2018-02-21,78276.66167106651,94081.02813051787,94071.15547690497,94031.6648624534
2018-02-22,73258.06063408202,88130.79816044495,88120.92550683205,88081.43489238048
2018-02-23,75426.1449056784,87541.07386505665,87522.57445044436,87448.57679199519
2018-02-24,71852.72363414646,87541.07386505665,87522.57445044436,87448.57679199519
2018-02-25,70766.5577902796,87541.07386505665,87522.57445044436,87448.57679199519
2018-02-26,75906.48190740161,87541.07386505665,87522.57445044436,87448.57679199519
2018-02-27,78534.39545432085,87541.07386505665,87522.57445044436,87448.57679199519
2018-02-28,76134.93426122452,87541.07386505665,87522.57445044436,87448.57679199519
2018-03-01,80184.80979548547,87541.07386505665,87522.57445044436,87448.57679199519
2018-03-02,81176.23108746795,87541.07386505665,87522.57445044436,87448.57679199519
2018-03-03,84129.25073219663,87541.07386505665,87522.57445044436,87448.57679199519
2018-03-04,84296.92356216919,87541.07386505665,87522.57445044436,87448.57679199519
2018-03-05,84741.37919322404,87541.07386505665,87522.57445044436,87448.57679199519
2018-03-06,78931.9936477532,87541.07386505665,87522.57445044436,87448.57679199519
2018-03-07,72969.35074526064,87541.07386505665,87522.57445044436,87448.57679199519
2018-03-08,68791.62369494743,87541.07386505665,87522.57445044436,87448.57679199519
2018-03-09,68370.89352979086,87541.07386505665,87522.57445044436,87448.57679199519
2018-03-10,64918.1374894324,87541.07386505665,87522.57445044436,87448.57679199519
2018-03-11,70136.11681624269,87541.07386505665,87522.57445044436,87448.57679199519
2018-03-12,67401.2241568146,87541.07386505665,87522.57445044436,87448.57679199519
2018-03-13,67326.02200948118,87541.07386505665,87522.57445044436,87448.57679199519
2018-03-14,60552.74472106597,87541.07386505665,87522.57445044436,87448.57679199519
2018-03-15,60780.103043459574,87541.07386505665,87522.57445044436,87448.57679199519
2018-03-16,61054.604824764414,87541.07386505665,87522.57445044436,87448.57679199519
2018-03-17,57968.54237759343,87541.07386505665,87522.57445044436,87448.57679199519
2018-03-18,60214.975030699025,87541.07386505665,87522.57445044436,87448.57679199519
2018-03-19,63194.87352603398,87541.07386505665,87522.57445044436,87448.57679199519
2018-03-20,65265.71771000201,87541.07386505665,87522.57445044436,87448.57679199519
2018-03-21,65381.484826606385,87541.07386505665,87522.57445044436,87448.57679199519
2018-03-22,63911.12088668316,87541.07386505665,87522.57445044436,87448.57679199519
2018-03-23,65017.8659622725,87541.07386505665,87522.57445044436,87448.57679199519
2018-03-24,63469.232296694456,87541.07386505665,87522.57445044436,87448.57679199519
2018-03-25,62207.33497304571,87541.07386505665,87522.57445044436,87448.57679199519
2018-03-26,60110.41994861198,87541.07386505665,87522.57445044436,87448.57679199519
2018-03-27,57354.65488564046,87541.07386505665,87522.57445044436,87448.57679199519
2018-03-28,58243.85574430497,87541.07386505665,87522.57445044436,87448.57679199519
2018-03-29,52468.2957914899,87541.07386505665,87522.57445044436,87448.57679199519
2018-03-30,50453.38664579474,87541.07386505665,87522.57445044436,87448.57679199519
2018-03-31,51061.19618536268,87541.07386505665,87522.57445044436,87448.57679199519
2018-04-01,50114.4442681441,87541.07386505665,87522.57445044436,87448.57679199519
2018-04-02,51868.60925652127,87541.07386505665,87522.57445044436,87448.57679199519
2018-04-03,54594.717487119924,87541.07386505665,87522.57445044436,87448.57679199519
2018-04-04,50184.80908043226,87541.07386505665,87522.57445044436,87448.57679199519
2018-04-05,49874.57251436953,87541.07386505665,87522.57445044436,87448.57679199519
2018-04-06,48592.095958998274,87541.07386505665,87522.57445044436,87448.57679199519
2018-04-07,50604.00188116202,87541.07386505665,87522.57445044436,87448.57679199519
2018-04-08,51427.23192958614,87541.07386505665,87522.57445044436,87448.57679199519
2018-04-09,49576.266611312014,87541.07386505665,87522.57445044436,87448.57679199519
2018-04-10,50045.10198196307,87541.07386505665,87522.57445044436,87448.57679199519
2018-04-11,51023.04809598131,87541.07386505665,87522.57445044436,87448.57679199519
2018-04-12,57766.23236955838,87541.07386505665,87522.57445044436,87448.57679199519
2018-04-13,57815.363676426125,87541.07386505665,87522.57445044436,87448.57679199519
2018-04-14,58476.40892835474,87541.07386505665,87522.57445044436,87448.57679199519
2018-04-15,60986.953639452855,87541.07386505665,87522.57445044436,87448.57679199519
2018-04-16,59006.74960187624,87541.07386505665,87522.57445044436,87448.57679199519
2018-04-17,57860.24756715654,87541.07386505665,87522.57445044436,87448.57679199519
2018-04-18,59773.74428967436,87541.07386505665,87522.57445044436,87448.57679199519
2018-04-19,60732.13727334332,87541.07386505665,87522.57445044436,87448.57679199519
2018-04-20,64770.45039700827,87541.07386505665,87522.57445044436,87448.57679199519
2018-04-21,65134.72711030618,87999.49209457813,87972.22817156152,87863.20912059257
2018-04-22,64452.888110688524,87087.1620322564,87060.09090527643,86951.84303845411
2018-04-23,65393.19739837896,87008.0943836273,86972.425617886,86829.82361185452
2018-04-24,71006.50104937635,87008.0943836273,86972.425617886,86829.82361185452
2018-04-25,64769.79254804425,85108.81660895122,85071.77309655848,84923.68816260224
2018-04-26,67960.56023847882,86076.49698377628,86039.0567730666,85889.38585836196
2018-04-27,65804.48171047594,86096.74933687938,86057.23856975525,85899.30235299534
2018-04-28,68450.92943690345,86096.74933687938,86057.23856975525,85899.30235299534
2018-04-29,68967.870013049,86096.74933687938,86057.23856975525,85899.30235299534
2018-04-30,67660.64546567234,86096.74933687938,86057.23856975525,85899.30235299534
2018-05-01,66770.7116774555,86096.74933687938,86057.23856975525,85899.30235299534
2018-05-02,67626.74479242828,86096.74933687938,86057.23856975525,85899.30235299534
2018-05-03,71345.95826534666,86096.74933687938,86057.23856975525,85899.30235299534
2018-05-04,71030.369525919,86096.74933687938,86057.23856975525,85899.30235299534
2018-05-05,72182.80650237938,86096.74933687938,86057.23856975525,85899.30235299534
2018-05-06,70693.84402815794,85684.95178413275,85643.50285322659,85477.8329894195
2018-05-07,68630.53650514735,85075.84679629326,85034.67739052033,84870.12487130675
2018-05-08,67618.69329315115,85092.83738743985,85049.63338730476,84876.96111008785
2018-05-09,68280.3177381894,85092.83738743985,85049.63338730476,84876.96111008785
2018-05-10,66221.0431153496,85092.83738743985,85049.63338730476,84876.96111008785
2018-05-11,61809.815435467775,85092.83738743985,85049.63338730476,84876.96111008785
2018-05-12,62274.035137572304,85092.83738743985,85049.63338730476,84876.96111008785
2018-05-13,63877.95671825752,85092.83738743985,85049.63338730476,84876.96111008785
2018-05-14,63825.60052135961,85092.83738743985,85049.63338730476,84876.96111008785
2018-05-15,62314.23542970015,85092.83738743985,85049.63338730476,84876.96111008785
2018-05-16,61277.7872363429,85092.83738743985,85049.63338730476,84876.96111008785
2018-05-17,59267.78335574906,85092.83738743985,85049.63338730476,84876.96111008785
2018-05-18,60414.79665352232,85092.83738743985,85049.63338730476,84876.96111008785
2018-05-19,60387.04543798548,85092.83738743985,85049.63338730476,84876.96111008785
2018-05-20,62335.25084388794,85092.83738743985,85049.63338730476,84876.96111008785
2018-05-21,61645.06717317223,85092.83738743985,85049.63338730476,84876.96111008785
2018-05-22,58883.07757190522,85092.83738743985,85049.63338730476,84876.96111008785
2018-05-23,55339.45256812437,85092.83738743985,85049.63338730476,84876.96111008785
2018-05-24,55555.60243126676,85092.83738743985,85049.63338730476,84876.96111008785
2018-05-25,54770.67063340057,85092.83738743985,85049.63338730476,84876.96111008785
2018-05-26,53860.819037691384,85092.83738743985,85049.63338730476,84876.96111008785
2018-05-27,53951.1767380602,85092.83738743985,85049.63338730476,84876.96111008785
2018-05-28,52250.75514983117,85092.83738743985,85049.63338730476,84876.96111008785
2018-05-29,54715.38629355952,85092.83738743985,85049.63338730476,84876.96111008785
2018-05-30,54231.61346110572,85092.83738743985,85049.63338730476,84876.96111008785
2018-05-31,54873.398754506,85092.83738743985,85049.63338730476,84876.96111008785
2018-06-01,55219.59177182537,85092.83738743985,85049.63338730476,84876.96111008785
2018-06-02,55966.45056089848,85092.83738743985,85049.63338730476,84876.96111008785
2018-06-03,56528.78986609413,85092.83738743985,85049.63338730476,84876.96111008785
2018-06-04,55022.04044298119,85092.83738743985,85049.63338730476,84876.96111008785
2018-06-05,55895.495829702355,85092.83738743985,85049.63338730476,84876.96111008785
2018-06-06,56043.5511745357,85092.83738743985,85049.63338730476,84876.96111008785
2018-06-07,56221.188271153624,85092.83738743985,85049.63338730476,84876.96111008785
2018-06-08,55830.76921206784,85092.83738743985,85049.63338730476,84876.96111008785
2018-06-09,55150.249485644345,85092.83738743985,85049.63338730476,84876.96111008785
2018-06-10,49688.22249424436,85092.83738743985,85049.63338730476,84876.96111008785
2018-06-11,50573.469108592486,85092.83738743985,85049.63338730476,84876.96111008785
2018-06-12,48196.993301309914,85092.83738743985,85049.63338730476,84876.96111008785
2018-06-13,46494.88776274362,85092.83738743985,85049.63338730476,84876.96111008785
2018-06-14,48877.88128014262,85092.83738743985,85049.63338730476,84876.96111008785
2018-06-15,47276.01547747,85092.83738743985,85049.63338730476,84876.96111008785
2018-06-16,47961.222377762184,85092.83738743985,85049.63338730476,84876.96111008785
2018-06-17,47588.59741810013,85092.83738743985,85049.63338730476,84876.96111008785
2018-06-18,49313.32724060318,85092.83738743985,85049.63338730476,84876.96111008785
2018-06-19,49570.4818307479,85092.83738743985,85049.63338730476,84876.96111008785
2018-06-20,49618.880208063325,85092.83738743985,85049.63338730476,84876.96111008785
2018-06-21,49276.13374727288,85092.83738743985,85049.63338730476,84876.96111008785
2018-06-22,44545.65983073403,85092.83738743985,85049.63338730476,84876.96111008785
2018-06-23,45122.57192058933,85092.83738743985,85049.63338730476,84876.96111008785
2018-06-24,45201.284979241645,85092.83738743985,85049.63338730476,84876.96111008785
2018-06-25,45757.40332140791,85092.83738743985,85049.63338730476,84876.96111008785
